origin,time,path,method,size,status_code
in24.inetnebr.com,1995-08-01 00:00:01,/shuttle/missions/sts-68/news/sts-68-mcc-05.txt,GET,1839,200
uplherc.upl.com,1995-08-01 00:00:07,/,GET,0,304
uplherc.upl.com,1995-08-01 00:00:08,/images/ksclogo-medium.gif,GET,0,304
uplherc.upl.com,1995-08-01 00:00:08,/images/MOSAIC-logosmall.gif,GET,0,304
uplherc.upl.com,1995-08-01 00:00:08,/images/USA-logosmall.gif,GET,0,304
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:09,/images/launch-logo.gif,GET,1713,200
uplherc.upl.com,1995-08-01 00:00:10,/images/WORLD-logosmall.gif,GET,0,304
slppp6.intermind.net,1995-08-01 00:00:10,/history/skylab/skylab.html,GET,1687,200
piweba4y.prodigy.com,1995-08-01 00:00:10,/images/launchmedium.gif,GET,11853,200
slppp6.intermind.net,1995-08-01 00:00:11,/history/skylab/skylab-small.gif,GET,9202,200
slppp6.intermind.net,1995-08-01 00:00:12,/images/ksclogosmall.gif,GET,3635,200
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:12,/history/apollo/images/apollo-logo1.gif,GET,1173,200
slppp6.intermind.net,1995-08-01 00:00:13,/history/apollo/images/apollo-logo.gif,GET,3047,200
uplherc.upl.com,1995-08-01 00:00:14,/images/NASA-logosmall.gif,GET,0,304
133.43.96.45,1995-08-01 00:00:16,/shuttle/missions/sts-69/mission-sts-69.html,GET,10566,200
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:17,/,GET,7280,200
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:18,/images/ksclogo-medium.gif,GET,5866,200
d0ucr6.fnal.gov,1995-08-01 00:00:19,/history/apollo/apollo-16/apollo-16.html,GET,2743,200
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:19,/shuttle/resources/orbiters/discovery.html,GET,6849,200
d0ucr6.fnal.gov,1995-08-01 00:00:20,/history/apollo/apollo-16/apollo-16-patch-small.gif,GET,14897,200
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:21,/images/NASA-logosmall.gif,GET,0,304
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:21,/images/MOSAIC-logosmall.gif,GET,0,304
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:22,/images/USA-logosmall.gif,GET,0,304
kgtyk4.kj.yamagata-u.ac.jp,1995-08-01 00:00:22,/images/WORLD-logosmall.gif,GET,0,304
133.43.96.45,1995-08-01 00:00:22,/images/KSC-logosmall.gif,GET,1204,200
133.43.96.45,1995-08-01 00:00:23,/shuttle/missions/sts-69/sts-69-patch-small.gif,GET,8083,200
133.43.96.45,1995-08-01 00:00:23,/images/launch-logo.gif,GET,1713,200
www-c8.proxy.aol.com,1995-08-01 00:00:24,/shuttle/countdown/,GET,4324,200
133.43.96.45,1995-08-01 00:00:25,/history/apollo/images/apollo-logo1.gif,GET,1173,200
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:25,/shuttle/resources/orbiters/discovery-logo.gif,GET,4179,200
piweba4y.prodigy.com,1995-08-01 00:00:32,/images/NASA-logosmall.gif,GET,786,200
slppp6.intermind.net,1995-08-01 00:00:32,/history/skylab/skylab-1.html,GET,1659,200
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:34,/images/ksclogosmall.gif,GET,3635,200
in24.inetnebr.com,1995-08-01 00:00:34,/shuttle/missions/sts-68/news/sts-68-mcc-06.txt,GET,2303,200
slppp6.intermind.net,1995-08-01 00:00:39,/history/skylab/skylab-logo.gif,GET,3274,200
ix-esc-ca2-07.ix.netcom.com,1995-08-01 00:00:39,/shuttle/resources/orbiters/orbiters-logo.gif,GET,1932,200
uplherc.upl.com,1995-08-01 00:00:43,/shuttle/missions/sts-71/mission-sts-71.html,GET,13450,200
uplherc.upl.com,1995-08-01 00:00:44,/shuttle/missions/sts-71/sts-71-patch-small.gif,GET,12054,200
uplherc.upl.com,1995-08-01 00:00:45,/images/KSC-logosmall.gif,GET,1204,200
uplherc.upl.com,1995-08-01 00:00:45,/history/apollo/images/apollo-logo1.gif,GET,1173,200
uplherc.upl.com,1995-08-01 00:00:45,/images/launch-logo.gif,GET,1713,200
133.43.96.45,1995-08-01 00:00:46,/shuttle/resources/orbiters/endeavour.html,GET,6168,200
piweba4y.prodigy.com,1995-08-01 00:00:47,/images/KSC-logosmall.gif,GET,1204,200
133.43.96.45,1995-08-01 00:00:51,/images/ksclogosmall.gif,GET,3635,200
133.43.96.45,1995-08-01 00:00:51,/shuttle/resources/orbiters/orbiters-logo.gif,GET,1932,200
uplherc.upl.com,1995-08-01 00:00:55,/shuttle/resources/orbiters/atlantis.html,GET,7025,200
uplherc.upl.com,1995-08-01 00:00:56,/shuttle/resources/orbiters/atlantis-logo.gif,GET,4179,200
www-c3.proxy.aol.com,1995-08-01 00:00:57,"/cgi-bin/imagemap/countdown70?285,291",GET,85,302
uplherc.upl.com,1995-08-01 00:00:59,/shuttle/resources/orbiters/orbiters-logo.gif,GET,1932,200
uplherc.upl.com,1995-08-01 00:00:59,/images/ksclogosmall.gif,GET,3635,200
www-c3.proxy.aol.com,1995-08-01 00:00:59,/htbin/cdt_main.pl,GET,3714,200
in24.inetnebr.com,1995-08-01 00:01:02,/shuttle/missions/sts-68/news/sts-68-mcc-07.txt,GET,1437,200
www-c3.proxy.aol.com,1995-08-01 00:01:05,/shuttle/countdown/images/countclock.gif,GET,13994,200
uplherc.upl.com,1995-08-01 00:01:13,/shuttle/resources/orbiters/challenger.html,GET,8089,200
133.68.18.180,1995-08-01 00:01:13,/persons/nasa-cm/jmd-sm.gif,GET,3660,200
piweba4y.prodigy.com,1995-08-01 00:01:14,/images/launchmedium.gif,GET,11853,200
133.68.18.180,1995-08-01 00:01:14,/persons/nasa-cm/tnn-sm.gif,GET,4742,200
133.68.18.180,1995-08-01 00:01:14,/persons/nasa-cm/hec-sm.gif,GET,5410,200
133.68.18.180,1995-08-01 00:01:14,/persons/nasa-cm/mike-sm.gif,GET,4649,200
uplherc.upl.com,1995-08-01 00:01:15,/shuttle/resources/orbiters/challenger-logo.gif,GET,4179,200
133.43.96.45,1995-08-01 00:01:16,/shuttle/resources/orbiters/endeavour-logo.gif,GET,5052,200
uplherc.upl.com,1995-08-01 00:01:17,/history/apollo/apollo-17/apollo-17.html,GET,2732,200
ip-pdx6-54.teleport.com,1995-08-01 00:01:17,/history/history.html,GET,1602,200
uplherc.upl.com,1995-08-01 00:01:18,/history/apollo/apollo-17/apollo-17-patch-small.gif,GET,14977,200
uplherc.upl.com,1995-08-01 00:01:18,/history/apollo/images/footprint-logo.gif,GET,4209,200
www-d3.proxy.aol.com,1995-08-01 00:01:20,/,GET,7280,200
in24.inetnebr.com,1995-08-01 00:01:22,/shuttle/missions/sts-68/news/sts-68-mcc-08.txt,GET,2215,200
www-d3.proxy.aol.com,1995-08-01 00:01:28,/images/ksclogo-medium.gif,GET,5866,200
www-d3.proxy.aol.com,1995-08-01 00:01:28,/images/NASA-logosmall.gif,GET,786,200
www-d3.proxy.aol.com,1995-08-01 00:01:28,/images/MOSAIC-logosmall.gif,GET,363,200
www-d3.proxy.aol.com,1995-08-01 00:01:29,/images/USA-logosmall.gif,GET,234,200
www-d3.proxy.aol.com,1995-08-01 00:01:31,/images/WORLD-logosmall.gif,GET,669,200
piweba4y.prodigy.com,1995-08-01 00:01:32,/history/history.html,GET,1602,200
piweba4y.prodigy.com,1995-08-01 00:01:37,/history/apollo/images/apollo-small.gif,GET,9630,200
uplherc.upl.com,1995-08-01 00:01:38,/shuttle/missions/sts-71/images/images.html,GET,8529,200
133.43.96.45,1995-08-01 00:01:39,/shuttle/missions/sts-72/mission-sts-72.html,GET,3804,200
haraway.ucet.ufl.edu,1995-08-01 00:01:43,/facilities/lc39a.html,GET,7008,200
haraway.ucet.ufl.edu,1995-08-01 00:01:43,/images/lc39a-logo.gif,GET,13116,200
haraway.ucet.ufl.edu,1995-08-01 00:01:44,/images/kscmap-tiny.gif,GET,2537,200
133.68.18.180,1995-08-01 00:01:48,/persons/nasa-cm/jmd.html,GET,4067,200
ip-pdx6-54.teleport.com,1995-08-01 00:01:48,/history/apollo/apollo.html,GET,3260,200
www-c3.proxy.aol.com,1995-08-01 00:01:48,/shuttle/countdown/count.html,GET,73231,200
uplherc.upl.com,1995-08-01 00:01:48,/shuttle/missions/sts-71/images/KSC-95EC-0423.gif,GET,64939,200
133.43.96.45,1995-08-01 00:01:49,/shuttle/missions/sts-72/sts-72-patch-small.gif,GET,4179,200
www-d4.proxy.aol.com,1995-08-01 00:01:49,/images/rollout.gif,GET,258839,200
133.68.18.180,1995-08-01 00:01:49,/persons/nasa-cm/jmd.gif,GET,17866,200
piweba4y.prodigy.com,1995-08-01 00:01:50,/images/KSC-logosmall.gif,GET,1204,200
endeavor.fujitsu.co.jp,1995-08-01 00:01:51,/shuttle/missions/sts-68/ksc-srl-image.html,GET,1404,200
www-d3.proxy.aol.com,1995-08-01 00:01:52,/shuttle/missions/sts-71/mission-sts-71.html,GET,13450,200
in24.inetnebr.com,1995-08-01 00:01:54,/shuttle/missions/sts-68/news/sts-68-mcc-09.txt,GET,2166,200
205.163.36.61,1995-08-01 00:01:55,/shuttle/countdown/countdown.html,GET,4324,200
205.163.36.61,1995-08-01 00:01:57,/shuttle/countdown/count70.gif,GET,0,304
rpgopher.aist.go.jp,1995-08-01 00:01:58,/ksc.html,GET,7280,200
205.163.36.61,1995-08-01 00:02:01,/images/NASA-logosmall.gif,GET,0,304
205.163.36.61,1995-08-01 00:02:01,/images/KSC-logosmall.gif,GET,0,304
139.230.35.135,1995-08-01 00:02:02,/shuttle/missions/sts-49/mission-sts-49.html,GET,9271,200
rpgopher.aist.go.jp,1995-08-01 00:02:02,/images/NASA-logosmall.gif,GET,0,304
ip-pdx6-54.teleport.com,1995-08-01 00:02:03,/history/apollo/apollo-13/apollo-13.html,GET,18556,200
rpgopher.aist.go.jp,1995-08-01 00:02:04,/images/USA-logosmall.gif,GET,0,304
rpgopher.aist.go.jp,1995-08-01 00:02:04,/images/ksclogo-medium.gif,GET,0,304
piweba4y.prodigy.com,1995-08-01 00:02:04,/history/apollo/apollo.html,GET,3260,200
rpgopher.aist.go.jp,1995-08-01 00:02:04,/images/MOSAIC-logosmall.gif,GET,0,304
www-d3.proxy.aol.com,1995-08-01 00:02:04,/images/KSC-logosmall.gif,GET,1204,200
www-d3.proxy.aol.com,1995-08-01 00:02:05,/history/apollo/images/apollo-logo1.gif,GET,1173,200
haraway.ucet.ufl.edu,1995-08-01 00:02:05,/images/rss.gif,GET,283389,200
www-d3.proxy.aol.com,1995-08-01 00:02:05,/shuttle/missions/sts-71/sts-71-patch-small.gif,GET,12054,200
rpgopher.aist.go.jp,1995-08-01 00:02:05,/images/WORLD-logosmall.gif,GET,0,304
205.163.36.61,1995-08-01 00:02:10,"/cgi-bin/imagemap/countdown70?342,281",GET,98,302
uplherc.upl.com,1995-08-01 00:02:11,/shuttle/missions/sts-71/images/KSC-95EC-0589.gif,GET,45846,200
piweba4y.prodigy.com,1995-08-01 00:02:12,/history/apollo/images/footprint-small.gif,GET,18149,200
piweba1y.prodigy.com,1995-08-01 00:02:13,/,GET,7280,200
165.213.131.21,1995-08-01 00:02:15,/procurement/procurement.html,GET,3646,200
205.163.36.61,1995-08-01 00:02:15,/shuttle/countdown/liftoff.html,GET,0,304
haraway.ucet.ufl.edu,1995-08-01 00:02:20,/facilities/mlp.html,GET,2653,200
haraway.ucet.ufl.edu,1995-08-01 00:02:21,/images/mlp-logo.gif,GET,28426,200
rpgopher.aist.go.jp,1995-08-01 00:02:27,/shuttle/countdown/,GET,4324,200
rpgopher.aist.go.jp,1995-08-01 00:02:30,/shuttle/countdown/count70.gif,GET,0,304
rpgopher.aist.go.jp,1995-08-01 00:02:30,/images/KSC-logosmall.gif,GET,0,304
slppp6.intermind.net,1995-08-01 00:02:30,/history/skylab/skylab-2.html,GET,1478,200
in24.inetnebr.com,1995-08-01 00:02:32,/shuttle/missions/sts-68/news/sts-68-mcc-10.txt,GET,1712,200
piweba1y.prodigy.com,1995-08-01 00:02:33,/images/ksclogo-medium.gif,GET,5866,200
205.163.36.61,1995-08-01 00:02:36,/shuttle/countdown/video/livevideo2.gif,GET,71319,200
rpgopher.aist.go.jp,1995-08-01 00:02:45,"/cgi-bin/imagemap/countdown70?181,275",GET,110,302
rpgopher.aist.go.jp,1995-08-01 00:02:47,/shuttle/missions/sts-70/movies/movies.html,GET,2979,200
rpgopher.aist.go.jp,1995-08-01 00:02:50,/shuttle/missions/sts-70/sts-70-patch-small.gif,GET,0,304
piweba1y.prodigy.com,1995-08-01 00:02:50,/images/NASA-logosmall.gif,GET,0,304
www-d3.proxy.aol.com,1995-08-01 00:02:54,/shuttle/countdown/,GET,4324,200
in24.inetnebr.com,1995-08-01 00:02:57,/shuttle/missions/sts-68/news/sts-68-mcc-11.txt,GET,2187,200
piweba4y.prodigy.com,1995-08-01 00:03:00,/images/KSC-logosmall.gif,GET,1204,200
piweba4y.prodigy.com,1995-08-01 00:03:11,/history/apollo/images/apollo-logo1.gif,GET,1173,200
haraway.ucet.ufl.edu,1995-08-01 00:03:12,/shuttle/missions/sts-70/o-ring-problem.gif,GET,16197,200
rpgopher.aist.go.jp,1995-08-01 00:03:14,/shuttle/missions/sts-70/movies/woodpecker.mpg,GET,190269,200
piweba1y.prodigy.com,1995-08-01 00:03:22,/history/history.html,GET,1602,200
133.43.96.45,1995-08-01 00:03:28,/shuttle/resources/orbiters/endeavour.gif,GET,16991,200
in24.inetnebr.com,1995-08-01 00:03:28,/shuttle/missions/sts-68/news/sts-68-mcc-12.txt,GET,1881,200
www-c6.proxy.aol.com,1995-08-01 00:03:28,/shuttle/missions/sts-68/sts-68-patch-small.gif,GET,17459,200
piweba1y.prodigy.com,1995-08-01 00:03:29,/history/apollo/images/apollo-small.gif,GET,0,304
165.213.131.21,1995-08-01 00:03:32,/images/op-logo-small.gif,GET,14915,200
gw1.att.com,1995-08-01 00:03:33,/shuttle/missions/sts-73/mission-sts-73.html,GET,0,304
gw1.att.com,1995-08-01 00:03:36,/images/launch-logo.gif,GET,0,304
gw1.att.com,1995-08-01 00:03:36,/history/apollo/images/apollo-logo1.gif,GET,0,304
gw1.att.com,1995-08-01 00:03:37,/images/KSC-logosmall.gif,GET,0,304
gw1.att.com,1995-08-01 00:03:37,/shuttle/missions/sts-73/sts-73-patch-small.gif,GET,0,304
uplherc.upl.com,1995-08-01 00:03:37,/shuttle/missions/sts-71/images/KSC-95EC-0911.gif,GET,31242,200
haraway.ucet.ufl.edu,1995-08-01 00:03:39,/shuttle/missions/sts-71/mission-sts-71.html,GET,13450,200
haraway.ucet.ufl.edu,1995-08-01 00:03:39,/shuttle/missions/sts-71/sts-71-patch-small.gif,GET,12054,200
piweba1y.prodigy.com,1995-08-01 00:03:41,/images/NASA-logosmall.gif,GET,0,304
piweba4y.prodigy.com,1995-08-01 00:03:43,/history/apollo/images/footprint-small.gif,GET,18149,200
piweba1y.prodigy.com,1995-08-01 00:03:45,/images/KSC-logosmall.gif,GET,1204,200
ai.asu.edu,1995-08-01 00:03:45,/,GET,7280,200
haraway.ucet.ufl.edu,1995-08-01 00:03:47,/shuttle/technology/sts-newsref/sts_asm.html,GET,71654,200
haraway.ucet.ufl.edu,1995-08-01 00:03:48,/shuttle/technology/images/srb_mod_compare_6-small.gif,GET,28219,200
haraway.ucet.ufl.edu,1995-08-01 00:03:48,/shuttle/technology/images/srb_mod_compare_1-small.gif,GET,36902,200
haraway.ucet.ufl.edu,1995-08-01 00:03:48,/images/shuttle-patch-logo.gif,GET,891,200
haraway.ucet.ufl.edu,1995-08-01 00:03:49,/shuttle/technology/images/srb_mod_compare_3-small.gif,GET,55666,200
in24.inetnebr.com,1995-08-01 00:03:51,/shuttle/missions/sts-68/news/sts-68-mcc-13.txt,GET,1909,200
ai.asu.edu,1995-08-01 00:03:52,/facts/facts.html,GET,4722,200
rpgopher.aist.go.jp,1995-08-01 00:03:53,/shuttle/missions/sts-70/movies/sts-70-crew-suitup.mpg,GET,90112,200
gw1.att.com,1995-08-01 00:03:53,/shuttle/missions/sts-73/news,GET,0,302
gw1.att.com,1995-08-01 00:03:54,/shuttle/missions/sts-73/news/,GET,519,200
ai.asu.edu,1995-08-01 00:03:55,/facts/faq01.html,GET,19320,200
gw1.att.com,1995-08-01 00:03:56,/icons/menu.xbm,GET,0,304
gw1.att.com,1995-08-01 00:03:56,/icons/text.xbm,GET,0,304
gw1.att.com,1995-08-01 00:03:56,/icons/blank.xbm,GET,0,304
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:02,/software/winvn/winvn.html,GET,9866,200
rpgopher.aist.go.jp,1995-08-01 00:04:05,"/cgi-bin/imagemap/countdown70?51,156",GET,111,302
rpgopher.aist.go.jp,1995-08-01 00:04:06,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
www-d3.proxy.aol.com,1995-08-01 00:04:07,/shuttle/missions/sts-71/movies/movies.html,GET,3381,200
pm9.j51.com,1995-08-01 00:04:08,/facilities/lc39a.html,GET,7008,200
piweba3y.prodigy.com,1995-08-01 00:04:08,/,GET,7280,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:10,/software/winvn/winvn.gif,GET,25218,200
pm9.j51.com,1995-08-01 00:04:11,/images/lc39a-logo.gif,GET,13116,200
rpgopher.aist.go.jp,1995-08-01 00:04:13,/images/launch-logo.gif,GET,0,304
rpgopher.aist.go.jp,1995-08-01 00:04:13,/history/apollo/images/apollo-logo1.gif,GET,0,304
pm9.j51.com,1995-08-01 00:04:14,/images/kscmap-tiny.gif,GET,2537,200
rpgopher.aist.go.jp,1995-08-01 00:04:14,/shuttle/resources/orbiters/discovery.html,GET,6849,200
rpgopher.aist.go.jp,1995-08-01 00:04:17,/shuttle/resources/orbiters/discovery-logo.gif,GET,4179,200
rpgopher.aist.go.jp,1995-08-01 00:04:17,/images/ksclogosmall.gif,GET,3635,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:18,/images/construct.gif,GET,1414,200
rpgopher.aist.go.jp,1995-08-01 00:04:18,/shuttle/resources/orbiters/orbiters-logo.gif,GET,1932,200
in24.inetnebr.com,1995-08-01 00:04:19,/shuttle/missions/sts-68/news/sts-68-mcc-14.txt,GET,1418,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:20,/software/winvn/bluemarb.gif,GET,4441,200
uplherc.upl.com,1995-08-01 00:04:21,/shuttle/missions/sts-71/images/KSC-95EC-0908.jpg,GET,54279,200
piweba3y.prodigy.com,1995-08-01 00:04:22,/images/ksclogo-medium.gif,GET,5866,200
piweba1y.prodigy.com,1995-08-01 00:04:22,/history/apollo/images/apollo.gif,GET,28847,200
rpgopher.aist.go.jp,1995-08-01 00:04:25,/shuttle/resources/orbiters/endeavour.html,GET,6168,200
rpgopher.aist.go.jp,1995-08-01 00:04:28,/shuttle/resources/orbiters/endeavour-logo.gif,GET,5052,200
haraway.ucet.ufl.edu,1995-08-01 00:04:29,/ksc.html,GET,7280,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/ksclogo-medium.gif,GET,5866,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/NASA-logosmall.gif,GET,786,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/MOSAIC-logosmall.gif,GET,363,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/USA-logosmall.gif,GET,234,200
haraway.ucet.ufl.edu,1995-08-01 00:04:31,/images/WORLD-logosmall.gif,GET,669,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:32,/software/winvn/wvsmall.gif,GET,13372,200
piweba3y.prodigy.com,1995-08-01 00:04:37,/images/NASA-logosmall.gif,GET,786,200
haraway.ucet.ufl.edu,1995-08-01 00:04:42,/shuttle/countdown/,GET,4324,200
haraway.ucet.ufl.edu,1995-08-01 00:04:43,/shuttle/countdown/count70.gif,GET,46573,200
133.43.96.45,1995-08-01 00:04:43,/shuttle/missions/sts-49/mission-sts-49.html,GET,9271,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:46,/images/KSC-logosmall.gif,GET,1204,200
haraway.ucet.ufl.edu,1995-08-01 00:04:47,"/cgi-bin/imagemap/countdown70?199,165",GET,97,302
rpgopher.aist.go.jp,1995-08-01 00:04:47,"/cgi-bin/imagemap/countdown70?54,211",GET,110,302
haraway.ucet.ufl.edu,1995-08-01 00:04:47,/shuttle/countdown/lps/fr.html,GET,1879,200
haraway.ucet.ufl.edu,1995-08-01 00:04:48,/shuttle/countdown/lps/back.gif,GET,1289,200
haraway.ucet.ufl.edu,1995-08-01 00:04:48,/shuttle/countdown/lps/fr.gif,GET,30232,200
rpgopher.aist.go.jp,1995-08-01 00:04:49,/shuttle/missions/sts-70/images/images.html,GET,8657,200
piweba3y.prodigy.com,1995-08-01 00:04:49,/images/MOSAIC-logosmall.gif,GET,363,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:50,/images/MOSAIC-logosmall.gif,GET,363,200
piweba3y.prodigy.com,1995-08-01 00:04:51,/images/USA-logosmall.gif,GET,234,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:53,/images/USA-logosmall.gif,GET,234,200
piweba4y.prodigy.com,1995-08-01 00:04:53,/history/apollo/apollo-13/apollo-13.html,GET,18556,200
ppp8.montrealnet.ca,1995-08-01 00:04:53,/shuttle/missions/missions.html,GET,8677,200
133.43.96.45,1995-08-01 00:04:54,/shuttle/missions/sts-49/sts-49-patch-small.gif,GET,11628,200
haraway.ucet.ufl.edu,1995-08-01 00:04:55,"/cgi-bin/imagemap/fr?264,412",GET,91,302
haraway.ucet.ufl.edu,1995-08-01 00:04:55,/shuttle/countdown/lps/bkup-intg/bkup-intg.html,GET,4167,200
ppp8.montrealnet.ca,1995-08-01 00:04:56,/images/launchmedium.gif,GET,11853,200
haraway.ucet.ufl.edu,1995-08-01 00:04:56,/shuttle/countdown/lps/images/BKUP-INT.gif,GET,9467,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:56,/images/WORLD-logosmall.gif,GET,669,200
uplherc.upl.com,1995-08-01 00:04:57,/shuttle/missions/sts-71/images/KSC-95EC-0873.jpg,GET,75147,200
134.50.205.24,1995-08-01 00:04:57,/shuttle/missions/100th.html,GET,32303,200
piweba3y.prodigy.com,1995-08-01 00:04:58,/images/WORLD-logosmall.gif,GET,669,200
ppp8.montrealnet.ca,1995-08-01 00:05:01,/images/KSC-logosmall.gif,GET,1204,200
rpgopher.aist.go.jp,1995-08-01 00:05:03,/shuttle/missions/sts-70/images/KSC-95EC-0575.gif,GET,61570,200
ppp8.montrealnet.ca,1995-08-01 00:05:07,/images/NASA-logosmall.gif,GET,786,200
piweba3y.prodigy.com,1995-08-01 00:05:08,/images/ksclogo-medium.gif,GET,5866,200
slip4086.sirius.com,1995-08-01 00:05:10,/software/winvn/winvn.html,GET,9866,200
slip4086.sirius.com,1995-08-01 00:05:12,/images/construct.gif,GET,1414,200
slip4086.sirius.com,1995-08-01 00:05:12,/software/winvn/bluemarb.gif,GET,4441,200
133.43.96.45,1995-08-01 00:05:14,/shuttle/missions/sts-57/mission-sts-57.html,GET,11508,200
slip4086.sirius.com,1995-08-01 00:05:15,/software/winvn/wvsmall.gif,GET,13372,200
ppp8.montrealnet.ca,1995-08-01 00:05:16,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
slip4086.sirius.com,1995-08-01 00:05:18,/images/MOSAIC-logosmall.gif,GET,363,200
slip4086.sirius.com,1995-08-01 00:05:18,/software/winvn/winvn.gif,GET,25218,200
slip4086.sirius.com,1995-08-01 00:05:18,/images/KSC-logosmall.gif,GET,1204,200
ppp8.montrealnet.ca,1995-08-01 00:05:19,/shuttle/missions/sts-70/sts-70-patch-small.gif,GET,5978,200
133.43.96.45,1995-08-01 00:05:20,/shuttle/missions/sts-57/sts-57-patch-small.gif,GET,11988,200
village.islandnet.com,1995-08-01 00:05:21,/shuttle/missions/sts-68/images/ksc-upclose.gif,GET,86984,200
slip4086.sirius.com,1995-08-01 00:05:22,/images/USA-logosmall.gif,GET,234,200
slip4086.sirius.com,1995-08-01 00:05:23,/images/WORLD-logosmall.gif,GET,669,200
204.248.155.42,1995-08-01 00:05:30,/images/,GET,17688,200
haraway.ucet.ufl.edu,1995-08-01 00:05:30,/shuttle/missions/sts-71/movies/movies.html,GET,3381,200
uplherc.upl.com,1995-08-01 00:05:32,/shuttle/missions/sts-71/images/KSC-95EC-0948.jpg,GET,92477,200
204.248.155.42,1995-08-01 00:05:32,/icons/menu.xbm,GET,527,200
204.248.155.42,1995-08-01 00:05:32,/icons/image.xbm,GET,509,200
piweba3y.prodigy.com,1995-08-01 00:05:32,/shuttle/missions/sts-71/images/images.html,GET,8529,200
204.248.155.42,1995-08-01 00:05:35,/icons/blank.xbm,GET,509,200
piweba4y.prodigy.com,1995-08-01 00:05:35,/history/apollo/apollo-13/apollo-13-patch-small.gif,GET,12859,200
js002.cc.utsunomiya-u.ac.jp,1995-08-01 00:05:35,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
ppp8.montrealnet.ca,1995-08-01 00:05:36,/images/launch-logo.gif,GET,1713,200
